National ID,Mode,Joined Date,First Name,Last Name,Block No,Street,City,District,SMS No,WhatsApp No,Territory Code,Area Code,Bank Code,Branch Code,Language,Category,Account Number,Electrician Grade
945417194V,physical,23/05/2025,C S,Dissanayake,A/391/B,Station Road,Kudagama,Nuwara Eliya,728893383,713198998,TR029,AR04,7010,BOC-515,ENGLISH,LL,5284448019374,D
175104122V,physical,23/05/2025,R T,Jayawardena,L365,Lake View,Padiyapalalla,Nuwara Eliya,728893383,730143090,TR029,AR04,7010,BOC-515,ENGLISH,LL,555300700948,D
553378520V,physical,23/05/2025,D P,Bandara,L128/A,Central Road,Gampola,Nuwara Eliya,728893383,737122579,TR029,AR04,7010,BOC-515,ENGLISH,LL,30797942017980,D
239547452V,physical,23/05/2025,K P,Perera,L437/C,Church Lane,Balangoda,Nuwara Eliya,728893383,715776211,TR029,AR04,7010,BOC-515,ENGLISH,LL,38027168944,D
721401453V,physical,23/05/2025,A R,Krishantha,B/162/C,Main Street,Nuwara Eliya,Nuwara Eliya,728893383,754336000,TR029,AR04,7010,BOC-515,ENGLISH,LL,32803617,D
341789523V,physical,23/05/2025,J M,Karunaratne,C/372/A,Park Road,Pelmadulla,Nuwara Eliya,728893383,737415347,TR029,AR04,7010,BOC-515,ENGLISH,LL,28060234030671,D
195963405303,physical,23/05/2025,N S,Perera,No 459/B,School Lane,Hatton,Nuwara Eliya,728893383,738066922,TR029,AR04,7010,BOC-515,ENGLISH,LL,7158496726199,D
695617185964,physical,23/05/2025,J M,Dissanayake,D 248/C,Madakadura,Girandurukotte,Nuwara Eliya,728893383,713006065,TR029,AR04,7010,BOC-515,ENGLISH,LL,5960205471241,D
140394868V,physical,23/05/2025,A T,Pradeep,C/32/C,Central Road,Kudagama,Nuwara Eliya,728893383,750789011,TR029,AR04,7010,BOC-515,ENGLISH,LL,64220286,D
615502965237,physical,23/05/2025,W M,Fernando,D 268/C,Napatavela,Nuwara Eliya,Nuwara Eliya,728893383,762531565,TR029,AR04,7010,BOC-515,ENGLISH,LL,194826379623275,D
241000653V,physical,23/05/2025,H K,Weerasinghe,C/138/A,Mahawawa,Girandurukotte,Nuwara Eliya,728893383,758183515,TR029,AR04,7010,BOC-515,ENGLISH,LL,55164888,D
913692981V,physical,23/05/2025,E A,Rajapaksa,D 487/A,Hill Street,Ruvaneliya,Nuwara Eliya,728893383,777359473,TR029,AR04,7010,BOC-515,ENGLISH,LL,08064484632,D
609278304V,physical,23/05/2025,A R,Mendis,D 163/A,Samagimawatha,Pelmadulla,Nuwara Eliya,728893383,777721806,TR029,AR04,7010,BOC-515,ENGLISH,LL,0709028408138,D
476229898521,physical,23/05/2025,D P,Bandara,A/165/A,Ulhitiya,Padiyapalalla,Nuwara Eliya,728893383,726854492,TR029,AR04,7010,BOC-515,ENGLISH,LL,01563668936,D
932989085399,physical,23/05/2025,M M,Silva,C/398/B,Mahawawa,Balangoda,Nuwara Eliya,728893383,737442828,TR029,AR04,7010,BOC-515,ENGLISH,LL,105697999200813,D
523547394V,physical,23/05/2025,M M,Karunaratne,B/444,Main Street,Pelmadulla,Nuwara Eliya,728893383,750326412,TR029,AR04,7010,BOC-515,ENGLISH,LL,9366731147,D
206480223653,physical,23/05/2025,K P,Karunaratne,L275/C,Temple Road,Munwatta,Nuwara Eliya,728893383,789409991,TR029,AR04,7010,BOC-515,ENGLISH,LL,612573476164,D
952466876918,physical,23/05/2025,A R,Hemantha,B/364/B,Main Street,Padiyapalalla,Nuwara Eliya,728893383,716176115,TR029,AR04,7010,BOC-515,ENGLISH,LL,3460995576368,D
407837533V,physical,23/05/2025,L M,Mendis,D 111,Lake View,Mathurata,Nuwara Eliya,728893383,749709273,TR029,AR04,7010,BOC-515,ENGLISH,LL,85972240,D
561224718V,physical,23/05/2025,H K,Weerasinghe,D 393/C,Samagimawatha,Pelmadulla,Nuwara Eliya,728893383,725307669,TR029,AR04,7010,BOC-515,ENGLISH,LL,0347029935436,D
139843550783,physical,23/05/2025,K P,Krishantha,D 316/C,Central Road,Padiyapalalla,Nuwara Eliya,728893383,746350430,TR029,AR04,7010,BOC-515,ENGLISH,LL,51454390737909,D
